timestamp,model,method,status,vllm_script,canitedit_script,vllm_exit_code,canitedit_exit_code,canitedit_eval_exit_code,startup_seconds,canitedit_seconds,canitedit_eval_seconds,grafana_reachable,pass@1,pass@10,pass@100,canitedit_num_problems,canitedit_min_completions,canitedit_max_completions,canitedit_total_completions,canitedit_total_correct,tps,tps_source,mean_accept_length,mean_accept_length_source,n_alpha,n_alpha_source,n_alpha_0,n_alpha_1,n_alpha_2,n_alpha_3,n_alpha_4,n_alpha_5,n_alpha_6,n_alpha_7,n_alpha_8,n_alpha_9,n_alpha_10,n_alpha_11,n_alpha_12,n_alpha_13,generation_tokens,decode_seconds,accepted_tokens,drafts,accepted_by_pos,vllm_log,canitedit_log,canitedit_eval_log,metrics_snapshot,canitedit_output_dir,error
20260614-080304,L31-70B-I,autoregressive,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/L31-70B-I.sh/autoregressive.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/L31-70B-I/autoregressive.sh,-15,0,,460.059,441.879,,True,0.5333333333333333,1.0,1.0,210,1,1,210,112,20.360550003676362,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": null, ""1"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,,,,,,,,,,,,,,,47868.0,2351.017039881379,,,{},/home/yijiali/speculative-decoding-empirical-main/vllm/results/L31-70B-I/autoregressive/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/results/L31-70B-I/autoregressive/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/results/L31-70B-I/autoregressive/metrics.txt,,
20260614-081835,L31-70B-I,ngram,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/L31-70B-I.sh/ngram.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/L31-70B-I/ngram.sh,-15,0,,100.015,306.045,,True,0.6,1.0,1.0,210,1,1,210,126,34.88795354374305,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,4.046759372204603,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": 0.8964788159713751, ""1"": 0.9354136429608128, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": 0.9518037238169124, ""3"": 0.9619969434538971, ""4"": 0.9711925439525524, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,0.8964788159713751,0.9354136429608128,0.9518037238169124,0.9619969434538971,0.9711925439525524,,,,,,,,,,72381.0,2074.6702700474416,49763.0,12297.0,"{""0"": 11024.0, ""1"": 10312.0, ""2"": 9815.0, ""3"": 9442.0, ""4"": 9170.0}",/home/yijiali/speculative-decoding-empirical-main/vllm/results/L31-70B-I/ngram/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/results/L31-70B-I/ngram/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/results/L31-70B-I/ngram/metrics.txt,,
20260614-110449,L31-70B-I,suffix,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/L31-70B-I.sh/suiffix.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/L31-70B-I/suffix.sh,-15,0,,110.022,257.847,,True,0.6047619047619047,1.0,1.0,210,1,1,210,127,40.46981819489391,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,3.9280855199222544,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": 0.6138645934564302, ""1"": 0.7531398416886543, ""10"": 0.9758593545001312, ""11"": 0.9510621134713633, ""12"": 0.0, ""13"": null, ""2"": 0.8312780269058296, ""3"": 0.8707012811867836, ""4"": 0.949080348499516, ""5"": 0.9312525499796002, ""6"": 0.9647316538882804, ""7"": 0.9178019981834695, ""8"": 0.975259772389906, ""9"": 0.9667681380010147}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,0.6138645934564302,0.7531398416886543,0.8312780269058296,0.8707012811867836,0.949080348499516,0.9312525499796002,0.9647316538882804,0.9178019981834695,0.975259772389906,0.9667681380010147,0.9758593545001312,0.9510621134713633,0.0,,75657.0,1869.4672567010857,60630.0,15435.0,"{""0"": 9475.0, ""1"": 7136.0, ""2"": 5932.0, ""3"": 5165.0, ""4"": 4902.0, ""5"": 4565.0, ""6"": 4404.0, ""7"": 4042.0, ""8"": 3942.0, ""9"": 3811.0, ""10"": 3719.0, ""11"": 3537.0, ""12"": 0.0, ""13"": 0.0}",/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/L31-70B-I/suffix/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/L31-70B-I/suffix/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/L31-70B-I/suffix/metrics.txt,,
20260614-095148,L31-70B-I,eagle3,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/L31-70B-I.sh/eagle3_ST.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/L31-70B-I/eagle3.sh,-15,0,,130.02,364.864,,True,0.5666666666666667,1.0,1.0,210,1,1,210,119,26.357437129837432,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,1.0858273997695511,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": 0.5690016840488079, ""1"": 0.5754712082662651, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": 0.5783632590453848, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,0.5690016840488079,0.5754712082662651,0.5783632590453848,,,,,,,,,,,,55215.0,2094.8546601101407,36752.0,33847.0,"{""0"": 19259.0, ""1"": 11083.0, ""2"": 6410.0}",/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/L31-70B-I/eagle3/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/L31-70B-I/eagle3/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/L31-70B-I/eagle3/metrics.txt,,
20260614-082550,L31-8B-I,autoregressive,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/L31-8B-I.sh/autoregressive.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/L31-8B-I/autoregressive.sh,-15,0,,110.019,135.7,,True,0.43333333333333335,1.0,1.0,210,1,1,210,91,78.88980228457284,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": null, ""1"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,,,,,,,,,,,,,,,76699.0,972.2295883481856,,,{},/home/yijiali/speculative-decoding-empirical-main/vllm/results/L31-8B-I/autoregressive/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/results/L31-8B-I/autoregressive/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/results/L31-8B-I/autoregressive/metrics.txt,,
20260614-101027,L31-8B-I,ngram,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/L31-8B-I.sh/ngram.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/L31-8B-I/ngram.sh,-15,0,,40.01,75.848,,True,0.44285714285714284,1.0,1.0,210,1,1,210,93,161.74151129080983,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,4.009482615205457,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": 0.893029446015638, ""1"": 0.9345193740685543, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": 0.9476726801554869, ""3"": 0.9595077829196467, ""4"": 0.9648142058533378, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,0.893029446015638,0.9345193740685543,0.9476726801554869,0.9595077829196467,0.9648142058533378,,,,,,,,,,76614.0,473.6817369181663,48202.0,12022.0,"{""0"": 10736.0, ""1"": 10033.0, ""2"": 9508.0, ""3"": 9123.0, ""4"": 8802.0}",/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/L31-8B-I/ngram/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/L31-8B-I/ngram/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/L31-8B-I/ngram/metrics.txt,,
20260614-111102,L31-8B-I,suffix,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/L31-8B-I.sh/suffix.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/L31-8B-I/suffix.sh,-15,0,,50.13,51.396,,True,0.44761904761904764,1.0,1.0,210,1,1,210,94,228.63197594569704,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,3.5368931471636387,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": 0.583630309049483, ""1"": 0.7287287287287287, ""10"": 0.9784250269687162, ""11"": 0.9517640573318633, ""12"": 0.0, ""13"": null, ""2"": 0.8248626373626373, ""3"": 0.8472939217318901, ""4"": 0.9459512578616353, ""5"": 0.9312279243714938, ""6"": 0.965194109772423, ""7"": 0.9077669902912622, ""8"": 0.9781003310415075, ""9"": 0.9653736006248372}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,0.583630309049483,0.7287287287287287,0.8248626373626373,0.8472939217318901,0.9459512578616353,0.9312279243714938,0.965194109772423,0.9077669902912622,0.9781003310415075,0.9653736006248372,0.9784250269687162,0.9517640573318633,0.0,,78770.0,344.5274864733219,60541.0,17117.0,"{""0"": 9990.0, ""1"": 7280.0, ""2"": 6005.0, ""3"": 5088.0, ""4"": 4813.0, ""5"": 4482.0, ""6"": 4326.0, ""7"": 3927.0, ""8"": 3841.0, ""9"": 3708.0, ""10"": 3628.0, ""11"": 3453.0, ""12"": 0.0, ""13"": 0.0}",/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/L31-8B-I/suffix/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/L31-8B-I/suffix/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/L31-8B-I/suffix/metrics.txt,,
20260614-100812,L31-8B-I,eagle3,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/L31-8B-I.sh/eagle3_RedHatAI.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/L31-8B-I/eagle3.sh,-15,0,,60.013,69.649,,True,0.44761904761904764,1.0,1.0,210,1,1,210,94,166.95050997432136,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,2.177507498870033,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": 0.8462012573447837, ""1"": 0.8522385160726426, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": 0.8460486581961142, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,0.8462012573447837,0.8522385160726426,0.8460486581961142,,,,,,,,,,,,76959.0,460.9689423041418,52994.0,24337.0,"{""0"": 20594.0, ""1"": 17551.0, ""2"": 14849.0}",/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/L31-8B-I/eagle3/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/L31-8B-I/eagle3/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/L31-8B-I/eagle3/metrics.txt,,
20260614-101259,Qwen3-30B-A3B-I-2507,autoregressive,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/Qwen3-30B-A3B-I-2507.sh/autoregressive.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/Qwen3-30B-A3B-I-2507/autoregressive.sh,-15,0,,350.048,120.648,,True,0.5428571428571428,1.0,1.0,210,1,1,210,114,80.20105088415966,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": null, ""1"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,,,,,,,,,,,,,,,70603.0,880.32512319542,,,{},/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-30B-A3B-I-2507/autoregressive/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-30B-A3B-I-2507/autoregressive/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-30B-A3B-I-2507/autoregressive/metrics.txt,,
20260614-104159,Qwen3-30B-A3B-I-2507,ngram,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/Qwen3-30B-A3B-I-2507.sh/ngram.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/Qwen3-30B-A3B-I-2507/ngram.sh,-15,0,,70.017,79.156,,True,0.5476190476190477,1.0,1.0,210,1,1,210,115,124.20759752733372,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,3.827288913878737,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": 0.874988286008809, ""1"": 0.9147477776587769, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": 0.9374780470670881, ""3"": 0.9549144498563756, ""4"": 0.956055453832069, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,0.874988286008809,0.9147477776587769,0.9374780470670881,0.9549144498563756,0.956055453832069,,,,,,,,,,70071.0,564.1442342895316,40841.0,10671.0,"{""0"": 9337.0, ""1"": 8541.0, ""2"": 8007.0, ""3"": 7646.0, ""4"": 7310.0}",/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-30B-A3B-I-2507/ngram/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-30B-A3B-I-2507/ngram/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-30B-A3B-I-2507/ngram/metrics.txt,,
20260614-111253,Qwen3-30B-A3B-I-2507,suffix,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/Qwen3-30B-A3B-I-2507.sh/suffix.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/Qwen3-30B-A3B-I-2507/suffix.sh,-15,0,,90.02,67.561,,True,0.5428571428571428,1.0,1.0,210,1,1,210,114,146.61584290835577,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,2.931679498146564,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": 0.5390932420872541, ""1"": 0.7096159949222469, ""10"": 0.9753544902093181, ""11"": 0.9117341640706127, ""12"": 0.0, ""13"": null, ""2"": 0.768783542039356, ""3"": 0.8386658910219119, ""4"": 0.9320231213872833, ""5"": 0.8871247829322749, ""6"": 0.9605704697986577, ""7"": 0.9199417758369723, ""8"": 0.9737341772151898, ""9"": 0.9626259343516412}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,0.5390932420872541,0.7096159949222469,0.768783542039356,0.8386658910219119,0.9320231213872833,0.8871247829322749,0.9605704697986577,0.9199417758369723,0.9737341772151898,0.9626259343516412,0.9753544902093181,0.9117341640706127,0.0,,70178.0,478.65222889906727,51407.0,17535.0,"{""0"": 9453.0, ""1"": 6708.0, ""2"": 5157.0, ""3"": 4325.0, ""4"": 4031.0, ""5"": 3576.0, ""6"": 3435.0, ""7"": 3160.0, ""8"": 3077.0, ""9"": 2962.0, ""10"": 2889.0, ""11"": 2634.0, ""12"": 0.0, ""13"": 0.0}",/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/Qwen3-30B-A3B-I-2507/suffix/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/Qwen3-30B-A3B-I-2507/suffix/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/Qwen3-30B-A3B-I-2507/suffix/metrics.txt,,
20260614-103757,Qwen3-30B-A3B-I-2507,eagle3,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/Qwen3-30B-A3B-I-2507.sh/eagle3_RedHatAI.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/Qwen3-30B-A3B-I-2507/eagle3.sh,-15,0,,120.025,115.89,,True,0.5428571428571428,1.0,1.0,210,1,1,210,114,82.63793380163754,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,2.9992611117426393,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": 0.856883028305104, ""1"": 0.8398779517113293, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": 0.8109303427578581, ""3"": 0.800350603817686, ""4"": 0.7964224872231687, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,0.856883028305104,0.8398779517113293,0.8109303427578581,0.800350603817686,0.7964224872231687,,,,,,,,,,70156.0,848.9563663147856,52769.0,17594.0,"{""0"": 15076.0, ""1"": 12662.0, ""2"": 10268.0, ""3"": 8218.0, ""4"": 6545.0}",/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-30B-A3B-I-2507/eagle3/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-30B-A3B-I-2507/eagle3/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-30B-A3B-I-2507/eagle3/metrics.txt,,
20260614-104509,Qwen3-32B,autoregressive,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/Qwen3-32B.sh/autoregressive.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/Qwen3-32B/autoregressive.sh,-15,0,,90.019,282.455,,True,0.5761904761904761,1.0,1.0,210,1,1,210,121,37.094987371516375,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": null, ""1"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,,,,,,,,,,,,,,,71192.0,1919.1811359036947,,,{},/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-32B/autoregressive/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-32B/autoregressive/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-32B/autoregressive/metrics.txt,,
20260614-105514,Qwen3-32B,ngram,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/Qwen3-32B.sh/ngram.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/Qwen3-32B/ngram.sh,-15,0,,90.02,134.567,,True,0.6095238095238096,1.0,1.0,210,1,1,210,128,82.76587509381582,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,4.065608148591971,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": 0.9015128819652487, ""1"": 0.9356982636869652, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": 0.9504572494006925, ""3"": 0.961886968706212, ""4"": 0.9694085656016316, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,0.9015128819652487,0.9356982636869652,0.9504572494006925,0.961886968706212,0.9694085656016316,,,,,,,,,,81967.0,990.3477720387746,54284.0,13352.0,"{""0"": 12037.0, ""1"": 11263.0, ""2"": 10705.0, ""3"": 10297.0, ""4"": 9982.0}",/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-32B/ngram/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-32B/ngram/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-32B/ngram/metrics.txt,,
20260614-111537,Qwen3-32B,suffix,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/Qwen3-32B.sh/suffix.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/Qwen3-32B/suffix.sh,-15,0,,90.019,100.407,,True,0.6047619047619047,1.0,1.0,210,1,1,210,127,113.20507355348768,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,4.1140411605513245,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": 0.6221285165838001, ""1"": 0.7647951441578149, ""10"": 0.9773215564573884, ""11"": 0.9567659990229604, ""12"": 0.0, ""13"": null, ""2"": 0.8464285714285714, ""3"": 0.8657602750429755, ""4"": 0.9536101083032491, ""5"": 0.9405640734431194, ""6"": 0.9690078486617025, ""7"": 0.9156801661474558, ""8"": 0.9770923111816738, ""9"": 0.9723769730733519}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,0.6221285165838001,0.7647951441578149,0.8464285714285714,0.8657602750429755,0.9536101083032491,0.9405640734431194,0.9690078486617025,0.9156801661474558,0.9770923111816738,0.9723769730733519,0.9773215564573884,0.9567659990229604,0.0,,81924.0,723.6778125610435,65368.0,15889.0,"{""0"": 9885.0, ""1"": 7560.0, ""2"": 6399.0, ""3"": 5540.0, ""4"": 5283.0, ""5"": 4969.0, ""6"": 4815.0, ""7"": 4409.0, ""8"": 4308.0, ""9"": 4189.0, ""10"": 4094.0, ""11"": 3917.0, ""12"": 0.0, ""13"": 0.0}",/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/Qwen3-32B/suffix/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/Qwen3-32B/suffix/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/Qwen3-32B/suffix/metrics.txt,,
20260614-105127,Qwen3-32B,eagle3,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/Qwen3-32B.sh/eagle3_RedHatAI.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/Qwen3-32B/eagle3.sh,-15,0,,100.022,117.81,,True,0.6047619047619047,1.0,1.0,210,1,1,210,127,94.85071612997885,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,3.3230468956058448,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": 0.8809938281373635, ""1"": 0.8799473085443985, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": 0.8466249319542732, ""3"": 0.8395756309275036, ""4"": 0.8338119854489757, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,0.8809938281373635,0.8799473085443985,0.8466249319542732,0.8395756309275036,0.8338119854489757,,,,,,,,,,81760.0,861.9861118176486,62995.0,18957.0,"{""0"": 16701.0, ""1"": 14696.0, ""2"": 12442.0, ""3"": 10446.0, ""4"": 8710.0}",/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-32B/eagle3/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-32B/eagle3/canitedit.log,,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit_results/Qwen3-32B/eagle3/metrics.txt,,
20260615-090618,L31-70B-I,mlp,ok,/home/yijiali/speculative-decoding-empirical-main/vllm/scripts/L31-70B-I.sh/mlp.sh,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/scripts/L31-70B-I/mlp.sh,-15,0,0,100.017,3379.493,58.876,True,0.5428571428571428,1.0,1.0,210,1,1,210,114,20.906241412718593,vllm:request_generation_tokens_sum/vllm:request_decode_time_seconds_sum,,vllm:spec_decode_num_accepted_tokens_total/vllm:spec_decode_num_drafts_total,"{""0"": null, ""1"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",pos0=accepted_pos_0/drafts; posN=accepted_pos_N/accepted_pos_N-1,,,,,,,,,,,,,,,46795.0,2238.3267788887024,7136001.0,,{},/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/L31-70B-I/mlp/vllm.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/L31-70B-I/mlp/canitedit.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/L31-70B-I/mlp/canitedit_eval.log,/home/yijiali/speculative-decoding-empirical-main/vllm/canitedit/results/L31-70B-I/mlp/metrics.txt,/home/yijiali/speculative-decoding-empirical-main/CanItEdit/out/Llama-3.1-70B-Instruct/mlp,
